時刻,路線,在線,遅延1分以上,遅延5分以上,遅延10分以上,最大遅延,遅延合計,1時間雨量,10分雨量,風速,気温,観測時刻,観測地点
02:11,hokurikubiwako,2,0,0,0,0,0,0.0,0.0,1.0,22.5,02:00,彦根/大津
02:11,kyoto,2,0,0,0,0,0,0.0,0.0,1.4,23.4,02:00,京都/大阪
02:11,nara,0,0,0,0,0,0,0.0,0.0,0.9,22.7,02:00,京都/京田辺
02:11,sagano,0,0,0,0,0,0,0.0,0.0,0.9,22.7,02:00,京都/園部
02:29,hokurikubiwako,2,0,0,0,0,0,0.0,0.0,1.0,22.3,02:20,彦根/大津
02:29,kyoto,2,0,0,0,0,0,0.0,0.0,1.5,23.7,02:20,京都/大阪
02:29,nara,0,0,0,0,0,0,0.0,0.0,1.0,22.8,02:20,京都/京田辺
02:29,sagano,0,0,0,0,0,0,0.0,0.0,1.0,22.8,02:20,京都/園部
04:00,hokurikubiwako,3,1,0,0,1,1,0.0,0.0,0.7,22.0,03:50,彦根/大津
04:00,kyoto,3,1,0,0,1,1,0.0,0.0,2.0,23.1,03:50,京都/大阪
04:00,nara,0,0,0,0,0,0,0.0,0.0,0.6,22.5,03:50,京都/京田辺
04:00,sagano,0,0,0,0,0,0,0.0,0.0,0.6,22.5,03:50,京都/園部
04:13,hokurikubiwako,2,0,0,0,0,0,0.0,0.0,1.1,22.0,04:00,彦根/大津
04:13,kyoto,3,1,0,0,1,1,0.0,0.0,1.4,22.9,04:00,京都/大阪
04:13,nara,0,0,0,0,0,0,0.0,0.0,0.5,22.5,04:00,京都/京田辺
04:13,sagano,0,0,0,0,0,0,0.0,0.0,0.7,22.5,04:00,京都/園部
