時刻,路線,在線,遅延1分以上,遅延5分以上,遅延10分以上,最大遅延,遅延合計,1時間雨量,10分雨量,風速,気温,観測時刻,観測地点
00:14,hokurikubiwako,8,4,3,0,8,19,0.0,0.0,2.3,22.8,00:00,彦根/大津
00:14,kyoto,9,1,1,0,5,5,0.0,0.0,2.4,24.5,00:00,京都/大阪
00:14,nara,1,0,0,0,0,0,0.0,0.0,2.4,22.9,00:00,京都/京田辺
00:14,sagano,1,0,0,0,0,0,0.0,0.0,2.4,22.9,00:00,京都/園部
00:28,hokurikubiwako,7,3,0,0,3,7,0.0,0.0,1.9,22.8,00:20,彦根/大津
00:28,kyoto,7,2,0,0,1,2,0.0,0.0,2.1,24.1,00:20,京都/大阪
00:28,nara,1,0,0,0,0,0,0.0,0.0,2.1,23.0,00:20,京都/京田辺
00:28,sagano,1,0,0,0,0,0,0.0,0.0,2.1,23.0,00:20,京都/園部
00:40,hokurikubiwako,7,2,0,0,3,5,0.0,0.0,1.7,22.8,00:30,彦根/大津
00:40,kyoto,5,1,0,0,2,2,0.0,0.0,2.1,24.0,00:30,京都/大阪
00:40,nara,0,0,0,0,0,0,0.0,0.0,1.7,22.8,00:30,京都/京田辺
00:40,sagano,0,0,0,0,0,0,0.0,0.0,1.7,22.8,00:30,京都/園部
00:50,hokurikubiwako,4,1,0,0,4,4,0.0,0.0,1.4,22.5,00:40,彦根/大津
00:50,kyoto,5,0,0,0,0,0,0.0,0.0,2.9,24.0,00:40,京都/大阪
00:50,nara,0,0,0,0,0,0,0.0,0.0,2.3,22.9,00:40,京都/京田辺
00:50,sagano,0,0,0,0,0,0,0.0,0.0,2.3,22.9,00:40,京都/園部
00:57,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.2,22.5,00:50,彦根/大津
00:57,kyoto,5,0,0,0,0,0,0.0,0.0,2.1,24.0,00:50,京都/大阪
00:57,nara,0,0,0,0,0,0,0.0,0.0,2.1,22.9,00:50,京都/京田辺
00:57,sagano,0,0,0,0,0,0,0.0,0.0,2.1,22.9,00:50,京都/園部
01:10,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.5,22.5,01:00,彦根/大津
01:10,kyoto,4,0,0,0,0,0,0.0,0.0,2.4,23.9,01:00,京都/大阪
01:10,nara,0,0,0,0,0,0,0.0,0.0,1.3,22.9,01:00,京都/京田辺
01:10,sagano,0,0,0,0,0,0,0.0,0.0,1.3,22.9,01:00,京都/園部
01:25,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.5,22.6,01:10,彦根/大津
01:25,kyoto,4,0,0,0,0,0,0.0,0.0,2.4,24.0,01:10,京都/大阪
01:25,nara,0,0,0,0,0,0,0.0,0.0,1.7,22.9,01:10,京都/京田辺
01:25,sagano,0,0,0,0,0,0,0.0,0.0,1.7,22.9,01:10,京都/園部
01:39,hokurikubiwako,4,1,0,0,1,1,0.0,0.0,0.8,22.5,01:30,彦根/大津,,
01:39,kyoto,4,0,0,0,0,0,0.0,0.0,2.4,24.0,01:30,京都/大阪,,
01:39,nara,0,0,0,0,0,0,0.0,0.0,1.1,22.9,01:30,京都/京田辺,,
01:39,sagano,0,0,0,0,0,0,0.0,0.0,1.1,22.9,01:30,京都/園部,,
01:39,hokurikubiwako,4,1,0,0,2,2,0.0,0.0,0.8,22.5,01:30,彦根/大津,,
01:39,kyoto,4,0,0,0,0,0,0.0,0.0,2.4,24.0,01:30,京都/大阪,,
01:39,nara,0,0,0,0,0,0,0.0,0.0,1.1,22.9,01:30,京都/京田辺,,
01:39,sagano,0,0,0,0,0,0,0.0,0.0,1.1,22.9,01:30,京都/園部,,
01:51,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.1,22.3,01:40,彦根/大津,,
01:51,kyoto,4,0,0,0,0,0,0.0,0.0,2.5,23.9,01:40,京都/大阪,,
01:51,nara,0,0,0,0,0,0,0.0,0.0,0.8,22.9,01:40,京都/京田辺,,
01:51,sagano,0,0,0,0,0,0,0.0,0.0,0.8,22.9,01:40,京都/園部,,
01:58,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.3,22.3,01:50,彦根/大津,,
01:58,kyoto,4,0,0,0,0,0,0.0,0.0,2.1,23.8,01:50,京都/大阪,,
01:58,nara,0,0,0,0,0,0,0.0,0.0,1.3,22.8,01:50,京都/京田辺,,
01:58,sagano,0,0,0,0,0,0,0.0,0.0,1.3,22.8,01:50,京都/園部,,
02:49,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,0.6,22.5,02:40,彦根/大津,,
02:49,kyoto,4,0,0,0,0,0,0.0,0.0,3.1,24.0,02:40,京都/大阪,,
02:49,nara,0,0,0,0,0,0,0.0,0.0,2.4,22.7,02:40,京都/京田辺,,
02:49,sagano,0,0,0,0,0,0,0.0,0.0,2.4,22.7,02:40,京都/園部,,
04:07,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.3,22.2,04:00,彦根/大津,,
04:07,kyoto,5,0,0,0,0,0,0.0,0.0,2.9,23.5,04:00,京都/大阪,,
04:07,nara,0,0,0,0,0,0,0.0,0.0,2.5,22.2,04:00,京都/京田辺,,
04:07,sagano,0,0,0,0,0,0,0.0,0.0,2.5,22.2,04:00,京都/園部,,
04:20,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.1,22.2,04:10,彦根/大津,,
04:20,kyoto,5,0,0,0,0,0,0.0,0.0,2.4,23.5,04:10,京都/大阪,,
04:20,nara,0,0,0,0,0,0,0.0,0.0,1.9,22.2,04:10,京都/京田辺,,
04:20,sagano,0,0,0,0,0,0,0.0,0.0,1.9,22.2,04:10,京都/園部,,
