時刻,路線,在線,遅延1分以上,遅延5分以上,遅延10分以上,最大遅延,遅延合計,1時間雨量,10分雨量,風速,気温,観測時刻,観測地点,運行情報,原因
00:11,hokurikubiwako,5,1,0,0,1,1,0.0,0.0,2.0,20.1,00:00,彦根/大津,,
00:11,kyoto,9,3,0,0,2,4,0.0,0.0,2.7,21.1,00:00,京都/大阪,,
00:11,nara,1,0,0,0,0,0,0.0,0.0,1.0,21.1,00:00,京都/京田辺,,
00:11,sagano,1,0,0,0,0,0,0.0,0.0,1.0,21.1,00:00,京都/園部,,
00:24,hokurikubiwako,4,1,1,0,6,6,0.0,0.0,1.4,20.1,00:10,彦根/大津,,
00:24,kyoto,7,3,1,0,6,8,0.0,0.0,2.2,21.1,00:10,京都/大阪,,
00:24,nara,1,0,0,0,0,0,0.0,0.0,1.2,21.1,00:10,京都/京田辺,,
00:24,sagano,1,0,0,0,0,0,0.0,0.0,1.2,21.1,00:10,京都/園部,,
00:36,hokurikubiwako,4,1,1,0,6,6,0.0,0.0,2.1,20.1,00:20,彦根/大津,,
00:36,kyoto,6,2,0,0,2,3,0.0,0.0,1.7,21.1,00:20,京都/大阪,,
00:36,nara,1,0,0,0,0,0,0.0,0.0,1.0,21.1,00:20,京都/京田辺,,
00:36,sagano,0,0,0,0,0,0,0.0,0.0,1.0,21.1,00:20,京都/園部,,
00:46,hokurikubiwako,3,1,1,0,6,6,0.0,0.0,2.2,20.0,00:40,彦根/大津,,
00:46,kyoto,4,1,0,0,1,1,0.0,0.0,2.1,21.0,00:40,京都/大阪,,
00:46,nara,0,0,0,0,0,0,0.0,0.0,1.3,21.0,00:40,京都/京田辺,,
00:46,sagano,0,0,0,0,0,0,0.0,0.0,1.3,21.0,00:40,京都/園部,,
00:55,hokurikubiwako,3,1,1,0,5,5,0.0,0.0,2.2,20.0,00:40,彦根/大津,,
00:55,kyoto,5,0,0,0,0,0,0.0,0.0,2.1,21.0,00:40,京都/大阪,,
00:55,nara,0,0,0,0,0,0,0.0,0.0,1.3,21.0,00:40,京都/京田辺,,
00:55,sagano,0,0,0,0,0,0,0.0,0.0,1.3,21.0,00:40,京都/園部,,
